run,step,fid,kid_e3
REPA-Sigma (DINOv2-B),100000,7.1488,5.054055
REPA-Sigma (DINOv2-B),200000,6.0312,4.392567
REPA-Sigma (DINOv2-B),20000,324.3343,364.489680
REPA-Sigma (DINOv2-B),40000,23.4630,18.087631
REPA-Sigma (DINOv2-B),60000,10.5687,7.325147
REPA-Sigma (DINOv2-B),80000,8.0983,5.626762
REPA-Sigma (DINOv2-B),120000,6.5823,4.550932
REPA-Sigma (DINOv2-B),140000,6.3341,4.460818
REPA-Sigma (DINOv2-B),160000,6.2429,4.498577
REPA-Sigma (DINOv2-B),180000,6.1347,4.513612
